Protein;Protein ID;Entry Name;Gene;Protein Length;Organism;Protein Existence;Description;Protein Probability;Top Peptide Probability;Combined Total Peptides;Combined Spectral Count;Combined Total Spectral Count;WT_RT_1 Intensity;WT_RT_2 Intensity;WT_RT_3 Intensity;WT_Cold_1 Intensity;WT_Cold_2 Intensity;WT_Cold_2 Intensity;WT_RT_1 MaxLFQ Intensity;WT_RT_2 MaxLFQ Intensity;WT_RT_3 MaxLFQ Intensity;WT_Cold_1 MaxLFQ Intensity;WT_Cold_2 MaxLFQ Intensity;WT_Cold_3 MaxLFQ Intensity;Indistinguishable Proteins
rev_sp|F4J2U9|CFM3A_ARATH;rev_F4J2U9;rev_CFM3A_ARATH;rev_CFM3A;881;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;CRM-domain containing factor CFM3A, chloroplastic/mitochondrial;0.7872;0.9971;1;3;3;16934.346;0;0;0;7830.207;15901.168;0;0;0;0;0;0;
rev_sp|F4JCB2|CPL5_ARATH;rev_F4JCB2;rev_CPL5_ARATH;rev_CPL5;601;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;RNA polymerase II C-terminal domain phosphatase-like 5;0.8673;0.9984;1;6;6;159412.53;0;0;0;18213.941;0;0;0;0;0;0;0;
rev_sp|F4KIX0|JMJ13_ARATH;rev_F4KIX0;rev_JMJ13_ARATH;rev_JMJ13;787;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Lysine-specific demethylase JMJ13;0.7967;0.9973;1;7;7;23703.486;0;48004.305;7841.95;21373.996;65045.97;0;0;0;0;0;0;
rev_sp|O04504|PPR27_ARATH;rev_O04504;rev_PPR27_ARATH;rev_At1g09820;606;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Pentatricopeptide repeat-containing protein At1g09820;0.9642;0.9976;2;3;3;840865.75;0;1882777.8;141008.53;277078.12;662245.06;0;0;0;0;0;703837.2;
rev_sp|O49160|EIF3C_ARATH;rev_O49160;rev_EIF3C_ARATH;rev_TIF3C1;900;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Eukaryotic translation initiation factor 3 subunit C;0.9717;0.9975;2;7;7;19168.111;0;47310.715;14139.414;20077.125;26108.04;0;0;0;0;0;0;
rev_sp|P46637|ARGI1_ARATH;rev_P46637;rev_ARGI1_ARATH;rev_ARGAH1;342;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Arginase 1, mitochondrial;0.9819;0.9985;2;3;3;24014.457;0;64327.508;0;0;10541.402;0;0;0;0;0;0;
rev_sp|P57751|UGPA1_ARATH;rev_P57751;rev_UGPA1_ARATH;rev_UGP1;470;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;UTP--glucose-1-phosphate uridylyltransferase 1;0.8199;0.9977;1;2;2;0;0;0;0;0;10279.041;0;0;0;0;0;0;rev_sp|Q9M9P3|UGPA2_ARATH
rev_sp|Q29Q28|UTR2_ARATH;rev_Q29Q28;rev_UTR2_ARATH;rev_UTR2;345;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;UDP-galactose/UDP-glucose transporter 2;0.7935;0.9972;1;1;1;0;0;177848.38;0;0;0;0;0;0;0;0;0;
rev_sp|Q8GUM2|HSP7I_ARATH;rev_Q8GUM2;rev_HSP7I_ARATH;rev_HSP70-9;682;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Heat shock 70 kDa protein 9, mitochondrial;0.9861;0.9974;1;18;18;175017.03;133340.1;156378.78;62445.56;107739.38;153562.1;119953.24;0;116656.73;0;70299.29;105206.984;
rev_sp|Q8W4D4|BAGP1_ARATH;rev_Q8W4D4;rev_BAGP1_ARATH;rev_BAGP1;594;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;BAG-associated GRAM protein 1;0.9965;0.998;1;5;5;354375.44;0;0;0;0;0;0;0;0;0;0;0;
rev_sp|Q9C8L6|PPR80_ARATH;rev_Q9C8L6;rev_PPR80_ARATH;rev_PCMP-E63;717;Arabidopsis thaliana OX=3702;2:Experimental evidence at transcript level;Pentatricopeptide repeat-containing protein At1g53600, mitochondrial;0.8315;0.9978;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;
rev_sp|Q9FT52|ATP5H_ARATH;rev_Q9FT52;rev_ATP5H_ARATH;rev_At3g52300;168;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;ATP synthase subunit d, mitochondrial;0.8822;0.9986;1;7;7;30610.941;0;51073.586;0;0;27141.215;0;0;0;0;0;0;
rev_sp|Q9LD43|ACCA_ARATH;rev_Q9LD43;rev_ACCA_ARATH;rev_CAC3;769;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha, chloroplastic;0.8156;0.9976;1;26;26;126682.195;90612.016;0;52543.55;84749.03;65538.85;0;0;0;0;0;0;
rev_sp|Q9S816|NPC5_ARATH;rev_Q9S816;rev_NPC5_ARATH;rev_NPC5;521;Arabidopsis thaliana OX=3702;1:Experimental evidence at protein level;Non-specific phospholipase C5;0.864;0.9983;1;17;17;401342.62;249173.92;63162.44;114869.55;175347.84;277660.94;0;0;0;0;0;0;
rev_sp|Q9SA76|PPR64_ARATH;rev_Q9SA76;rev_PPR64_ARATH;rev_EMB2279;1006;Arabidopsis thaliana OX=3702;3:Protein inferred from homology;Pentatricopeptide repeat-containing protein At1g30610, chloroplastic;0.9804;0.998;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;
